単語,出現回数
にんき,9041
けんり,9032
にんしき,9028
さいだい,9015
がくしゅう,8983
つくり,8958
きんがく,8958
かんこく,8945
とくちょう,8934
じんこう,8928
すぽーつ,8926
ざいりょう,8892
しさん,8879
ぶんや,8874
ぱそこん,8844
けいこう,8840
かいがい,8833
がくせい,8817
つね,8769
ちなみ,8756
ぼうし,8756
せいひん,8750
いどう,8740
さいぼう,8709
ひよう,8673
もでる,8650
かあ,8649
せき,8649
ま,8617
こくない,8613
つき,8613
よこ,8612
え,8604
かぶしき,8604
れべる,8603
しょくいん,8601
まわり,8595
しだい,8594
てんのう,8583
ゆにゅう,8581
むすこ,8579
きじ,8575
さ,8571
さけ,8568
そん,8562
むりょう,8558
てつづき,8554
かだい,8553
じこう,8536
おとな,8520
せいこう,8502
いぬ,8495
きょうと,8495
かーど,8494
ほんにん,8493
とうじょう,8490
かぜ,8490
よんせん,8486
ちーむ,8470
かいせい,8457
きょり,8455
きぶん,8439
ばす,8439
あじあ,8438
くみあい,8426
ひだり,8418
いじ,8413
けいたい,8408
ちゅう,8382
せい,8380
せいぞう,8380
でんき,8377
じんぶつ,8364
べいこく,8339
よさん,8322
あめ,8319
さいがい,8297
たてもの,8293
しゅちょう,8265
はんのう,8251
きょうみ,8229
そふと,8199
けいせい,8190
いらい,8161
どうにゅう,8160
さいしゅう,8152
いぎりす,8149
えいご,8148
せいと,8129
ぎむ,8125
ざいせい,8122
ふぁいる,8107
ちきゅう,8101
えど,8100
ぶっしつ,8074
てきよう,8072
わりあい,8064
せっきょく,8010
ろうじん,8010
ひょうじょう,8008
げんき,7990
ひがし,7973
とちゅう,7967
きろ,7964
きそ,7958
あじ,7956
きせい,7955
ぶんせき,7953
しはい,7937
けーす,7927
つうじょう,7916
ばか,7890
きおく,7888
まちがい,7887
せいきゅう,7886
かんこう,7873
ばんごう,7871
ようきゅう,7870
ぎろん,7864
そら,7862
きかい,7844
どあ,7836
こうかん,7793
じち,7791
さいと,7790
じたい,7787
しんけい,7771
しんせい,7760
こうじ,7760
ていしゅつ,7717
そくしん,7700
しゅっぴん,7694
げんそく,7692
まど,7691
ちぇっく,7679
あに,7665
かつよう,7654
えいぎょう,7654
さきほど,7637
いし,7607
うで,7604
げんだい,7604
なかま,7582
ほぞん,7580
じじょう,7576
おう,7574
じょうしょう,7574
ふしぎ,7568
しゅうりょう,7556
みなみ,7545
こうじょう,7517
きょうか,7512
ふぁっくす,7474
げんし,7432
はる,7417
くみ,7399
しあい,7384
みんかん,7380
あん,7376
きた,7372
こうげき,7363
がぞう,7343
ろくせん,7342
せいかく,7339
きん,7335
けんちく,7328
わん,7309
こし,7301
せいりつ,7288
かいじょう,7280
よそう,7275
あい,7272
よーろっぱ,7265
げーむ,7263
たいかい,7243
こよう,7223
にし,7215
でざいん,7211
しゃちょう,7163
ふうふ,7161
いっぱい,7136
てがみ,7135
いってい,7125
ゆび,7104
ようい,7096
ぼーる,7084
しゅうだん,7060
かしょ,7045
しゅとく,7044
くうかん,7040
ねこ,7037
あき,7027
ていか,7026
あんしん,7023
せつび,7016
そうぞう,6985
せんきょ,6977
いんしょう,6976
しゅうきょう,6953
くらぶ,6952
しゅうへん,6951
ちちおや,6938
げんば,6937
きょうじゅ,6915
かんかく,6911
やさい,6911
かべ,6903
ながれ,6874
らくさつ,6871
しょゆう,6843
れんしゅう,6823
じゅうらい,6811
ぼうえき,6804
こんなん,6803
ほんらい,6798
かんしん,6793
こうくう,6793
じっけん,6793
ちゅうもく,6783
さよう,6782
じっこう,6767
うしろ,6749
かわり,6744
いのち,6737
ゆき,6725
きさい,6715
めーかー,6709
たにん,6696
としょ,6692
じゅうじつ,6688
せいげん,6686
かんじょう,6659
のう,6656
きょうしつ,6654
こうかい,6653
がん,6652
ぐらむ,6643
ふね,6641
ちゃ,6635
こうりゅう,6632
ひはん,6623
ふぁん,6617
いはん,6612
はんざい,6612
でんし,6610
ばんぐみ,6610
かく,6606
しょうせつ,6597
はんぶん,6597
きねん,6595
こたえ,6588
ざいさん,6586
ぼしゅう,6572
はつ,6570
じょし,6567
しょうめい,6564
きょうぎ,6556
ふくろ,6554
にちじょう,6553
たいど,6551
いつ,6549
いんたーねっと,6543
がめん,6529
しょぶん,6509
くんれん,6508
さいよう,6496
きょうかい,6485
おんなのこ,6477
たすう,6476
たんじょう,6469
ぜんねん,6467
しょうじょう,6459
しげん,6455
かいけい,6451
うんえい,6449
どくりつ,6448
しそう,6442
きょうそう,6436
ねっと,6426
てき,6420
かんさつ,6418
がす,6416
こうぎょう,6400
たび,6389
しょく,6384
へいわ,6378
きょうつう,6376
ものがたり,6372
ぱん,6370
しょうぼう,6370
うま,6354
よぼう,6350
はけん,6349
ふそく,6342
ふゆ,6324
じてん,6323
はっこう,6315
さくねん,6312
はっせん,6302
げんご,6281
ほじょ,6280
まんぞく,6279
えんじょ,6268
しかた,6266
かんせい,6248
かいふく,6227
とお,6223
せいり,6221
ぞう,6213
やくしょ,6205
べい,6199
かっこう,6195
おじ,6192
ちゅうがく,6184
せいめい,6182
ひこう,6162
いす,6154
らいん,6147
ゆしゅつ,6147
こーす,6137
しっぱい,6124
べんご,6122
くうき,6121
となり,6120
そつぎょう,6119
ぎいん,6116
ようそ,6110
ほいく,6110
しゅうちゅう,6099
しかく,6093
しゅうにゅう,6087
うちゅう,6078
たばこ,6078
かぶ,6064
さいけん,6055
しゃいん,6053
かめら,6051
なみだ,6050
りょうきん,6045
しゅだん,6040
しせい,6039
てーま,6037
さかな,6031
しょくぶつ,6027
さいむ,6024
くすり,6016
みんぞく,6015
たんい,6004
ほうしき,5997
だいたい,5994
てーぶる,5989
みんしゅ,5989
べっど,5985
うら,5979
いき,5969
ぜんいん,5962
みりょく,5957
しあわせ,5953
ななせん,5951
におい,5949
ぷろ,5937
ゆえ,5934
ないぶ,5928
やくそく,5924
ちょうき,5922
ふんいき,5921
ほうしん,5921
せいぶつ,5919
りろん,5915
とっぷ,5915
きゅうせん,5895
とう,5894
でんとう,5892
せだい,5889
はいけい,5881
ざっし,5876
ふく,5867
いん,5859
しーでぃー,5857
さいせい,5828
ぼたん,5825
しゅうい,5820
びじゅつ,5818
こんぴゅーたー,5816
めいれい,5813
にゅうりょく,5797
へん,5792
きょか,5777
ぶもん,5769
あんない,5762
ちか,5758
もり,5758
そば,5751
へんしゅう,5748
しゅじゅつ,5738
しゅんかん,5737
しんらい,5733
しょくひん,5710
ばば,5707
は,5706
にく,5687
じもと,5685
ちょくせつ,5682
はら,5682
いくら,5666
ぶたい,5657
きんだい,5655
ほしょう,5648
よやく,5617
じゅよう,5616
ぜんご,5613
せたい,5610
